,370,acusación,acusado,además,agosto,alzada,antecedentes,análisis,apelación,aplicable,aplicación,art,arts,así,auto,autos,años,base,bien,cada,casación,caso,comisión,conducta,conforme,consecuencia,considerando,constitucional,contradicción,contradictorio,corresponde,cp,cpp,cuanto,cuenta,cumplimiento,código,debe,debido,decir,declaró,defecto,defectos,defectuosa,defensa,delito,delitos,dentro,denuncia,departamental,derecho,derechos,doctrina,efecto,elementos,ello,embargo,errónea,establece,establecido,existe,existencia,fallo,falta,forma,fs,fundamentación,haber,hecho,hechos,homicidio,impugnado,imputado,inc,judicial,juez,juicio,jurídica,justicia,legal,lesiones,ley,manera,marzo,mayo,mediante,ministerio,misma,mismo,momento,motivo,motivos,norma,normas,nº,octubre,oral,parte,partes,particular,pena,penal,persona,precedente,precedentes,presente,previsto,principio,procedimiento,procesal,procesales,proceso,prueba,pruebas,puede,pues,público,recurrente,recurso,recursos,refiere,relación,requisitos,resolución,respecto,restringida,sala,segundo,sentencia,ser,señala,si,sido,siendo,siguientes,sino,situación,supremo,supremos,sustantiva,tiempo,tipo,toda,tribunal,tribunales,valoración,vez,vista,vta,víctima
pues,23773,54183,27470,42569,26492,121336,24176,40546,141705,23749,57415,212432,59953,57796,209502,39423,30349,28245,43091,30715,70087,83650,38094,53418,47943,29631,9723,23297,42691,22318,25058,83755,125160,36996,37792,21083,36818,65784,96443,46730,15690,64295,23109,28542,42777,133629,64256,30895,58024,12671,103901,39053,51230,21300,36348,51594,39515,27399,22599,26445,20632,31170,34570,43929,55373,49956,83613,44063,109699,117334,14472,42333,51734,47755,33282,36826,73977,26242,52116,70520,82199,57594,75084,16915,41026,19239,29529,28387,48502,23168,109435,32320,46383,32995,10094,16828,18212,89417,24098,19824,74804,185343,65002,41549,32773,71513,35349,54775,34483,32863,21054,140466,125668,44059,45624,0,35578,77525,147383,21724,22887,90559,32343,70950,60861,70568,45182,28763,301584,86797,25641,94661,36324,37515,12540,50245,20706,83578,21978,22753,42649,59409,17314,311812,18537,55134,21885,129111,20127,20229
público,23228,43526,27728,37154,25901,101559,25873,40375,131656,21613,59293,203363,57296,49702,220777,39653,33913,26943,35006,28000,83478,84370,34637,46017,47415,30127,13357,27794,39750,23700,24951,65593,120820,35195,37180,20242,45571,62780,77183,37709,17488,50564,23223,31972,39854,113004,57060,32819,47279,17043,92106,43009,45102,23902,32205,39674,30986,26927,26596,27039,20450,29006,30469,38389,48891,94064,76137,33570,93328,92070,21415,39479,55419,44320,40395,41066,80315,26700,66013,64467,55482,66803,62330,22071,40270,37283,43978,26939,45235,22354,80548,29581,39185,28837,16832,23232,23075,89366,27097,21272,65345,197687,46654,39970,33665,65795,38791,52661,44475,49718,24235,141795,120238,37814,40739,35578,0,71889,160515,24239,23178,79211,28539,73948,60635,68797,50035,25472,272946,79935,28062,76968,30611,35870,16297,40461,22756,89628,21173,22184,37897,47390,19278,304611,22238,51878,22809,123419,34423,28102
recurrente,56304,97593,59534,79022,59741,240936,56109,86009,295233,47759,121574,439537,136007,102900,478481,99256,60427,53298,81687,55470,186208,163704,73505,89032,97405,61607,26178,46025,104040,60982,52701,161823,275404,73998,76142,49614,79449,125376,198843,88583,35960,133013,61513,58127,88267,256305,120043,67229,127511,31488,210097,84566,104320,48904,64810,95805,80476,63236,53586,56555,45600,65482,70469,90457,103850,102137,181413,80207,212876,203334,38521,104042,92404,108656,73708,66002,152016,50733,137518,148183,141717,132789,138738,42467,70677,34060,58712,56396,93121,46837,224488,70106,90298,69349,26804,38322,39164,191047,46970,39924,150500,372586,120108,108782,88136,146394,80806,107887,71022,63633,46927,271607,256194,88231,86671,77525,71889,0,363501,47623,52577,183991,82561,155510,131913,155683,105686,58884,591771,169938,60605,178363,72901,71803,31348,81880,46682,200755,57174,48817,87998,113207,37165,637673,44124,110514,44866,313248,43440,45853
recurso,104690,172354,109542,150274,108088,428606,113325,166689,573105,90824,242440,849074,251384,196596,956598,189074,120507,107072,143998,109382,435567,329895,146227,162899,195709,121214,62649,98286,191260,124080,100605,272077,502646,139687,143524,98250,219023,254872,322575,154091,75473,224076,116355,112320,153869,460732,211406,140618,207293,71009,390736,170779,196410,97592,124540,164792,130956,113361,113552,112326,89114,125294,129236,160325,201077,295272,335494,138038,385355,368748,94724,190897,201757,192206,170912,145310,302749,105213,313439,280105,231892,279395,252100,90716,136595,101470,133756,109054,183800,91499,355593,133988,172553,129235,87293,83547,84693,366413,106671,83370,269007,819396,191147,206584,175322,263859,168211,209183,195906,164468,102933,512539,480026,155148,158126,147383,160515,363501,0,102605,94310,323883,147790,312322,257068,314067,238611,106390,1116013,325538,110643,310180,126501,140823,78341,157403,93111,415037,101262,93644,157118,192473,81699,1246992,100407,209528,94873,602954,116901,99327
recursos,17191,25691,19207,24775,15023,68606,16390,26456,85032,14077,39537,127357,36716,30873,134323,26258,19191,17795,21922,17991,60043,49192,22256,30061,29418,18389,9696,15228,26816,15651,15046,43954,76128,24403,22214,13093,29472,39860,45749,23270,11315,33085,15514,15622,24017,70815,33038,20653,29658,10564,57313,24044,28995,15858,21501,24466,18403,19249,16542,15791,13022,19754,21741,25812,32350,40307,56492,20670,60235,60661,13848,28231,34877,28602,24012,22926,47409,17877,42555,41176,33303,43504,39756,13519,20298,13607,19918,16587,27147,15470,50985,19374,26116,18871,9779,11790,12520,54141,17311,13520,46928,119511,27257,25884,24649,38131,23739,33276,25745,24680,14551,76243,76773,24690,23654,21724,24239,47623,102605,0,14432,49399,18533,47449,40883,43855,33060,15271,173482,50614,15486,46501,18394,23002,10069,26685,14588,59437,14959,16411,22386,30110,13312,195237,15539,33774,15061,82386,16167,16304
refiere,17990,29896,19408,24102,17188,71163,15268,25966,86120,15108,40620,133345,37770,32120,144596,26546,19205,17958,23217,18095,47213,54288,22085,29519,29612,20160,8479,16781,27936,17200,15595,46361,83586,23083,23871,12362,22967,42109,57304,26787,10140,38700,16067,18903,26615,76334,38471,20263,34259,9018,60296,24734,32135,15243,21646,27804,22692,19101,16682,16813,14292,18907,21832,27645,31452,36243,56553,22882,65746,65195,11241,26635,31191,32278,22241,22852,51779,17417,35422,42767,39651,40359,44699,13254,23060,14238,18972,19848,29060,14877,62137,20151,27055,19636,8832,11732,12384,56557,16026,12481,42074,114322,33882,28742,23409,42954,24303,35478,20513,22342,12894,86146,81819,27606,27083,22887,23178,52577,94310,14432,0,56453,18965,49132,45645,43432,28406,16657,183734,54045,22354,53626,21679,24956,8512,25833,15066,58979,15037,15712,24267,33652,13036,196261,12506,35749,14405,88204,14721,16678
relación,58578,132860,68799,97988,66086,290978,55410,96151,328352,56697,137030,493274,146776,136771,508014,89764,75128,64677,99477,72403,146619,193696,88307,127872,105873,73011,22955,56587,102023,54575,59481,204093,298947,86398,91799,47699,77902,152543,244281,106842,34625,154687,54948,72226,107686,320744,162450,68995,140681,24907,243255,88744,121396,51117,86820,123424,97842,69789,51466,62508,48748,67986,80829,104755,128116,120282,201797,105537,256555,278796,28639,97268,113839,114117,73729,82132,181235,58919,104651,165767,201123,137278,178420,39924,102367,50647,65867,66537,111429,53861,271622,75469,103585,78318,23473,42434,42455,206068,53039,43996,180962,415392,160009,100759,75929,171169,80350,125813,71204,73733,45709,344273,296968,106894,108789,90559,79211,183991,323883,49399,56453,0,75294,163340,149369,163381,92909,68680,724225,202414,70017,226389,85726,92749,26111,114272,47952,190279,52206,56798,99816,141031,39437,726401,37855,128713,49431,309623,48220,43476
requisitos,19189,41186,18594,29938,25809,92694,22431,31544,113545,16982,41809,171434,56707,41070,188619,41533,23921,17868,33879,21127,74522,62346,29466,33031,35386,22600,7488,19573,42456,26256,20353,64543,108997,25613,30058,22518,28875,46915,87480,36832,12255,56157,26457,23228,36926,103129,52265,25489,51833,9973,86615,36453,39170,14757,22155,41868,35651,21852,19175,22960,17038,25075,26901,35583,43464,40940,64477,34398,77778,80821,13516,42818,25451,42322,27886,20565,51765,15524,52830,57221,67912,47378,55404,15139,31449,12747,24864,21117,37449,16689,98459,26034,37113,30245,11069,15636,12728,74426,15144,14398,57171,139543,54426,47011,37974,62462,29035,38920,28388,23895,18523,113287,85553,33458,34421,32343,28539,82561,147790,18533,18965,75294,0,55823,46447,60733,39744,24451,228891,66256,24511,74611,29168,26830,12102,33249,16659,72832,24101,15929,40545,44800,9920,232101,15477,35050,14338,127882,17710,10151
resolución,53692,87854,58582,77937,50246,224036,49344,82933,279871,48389,123097,409917,113526,99865,440939,81780,59065,55636,72136,58380,158541,164095,69415,91480,95793,60553,26038,49245,84008,47828,49482,140805,252363,74683,71132,39437,81326,130510,164641,78160,35077,113658,49426,56702,76712,231606,108456,64492,102696,33194,188154,75537,101409,52426,66794,82529,65570,58276,51079,51651,41088,60176,65888,84794,98813,128930,176245,69286,197056,195084,38961,83534,106020,95048,76136,79814,159777,57284,124255,137647,115028,128895,133601,42213,69367,48785,60530,55787,87642,44361,180027,65953,83070,57921,27833,37643,41296,180203,53606,40086,134011,368267,96929,81997,69801,130407,77561,112269,74947,76856,43234,263088,248198,81860,81105,70950,73948,155510,312322,47449,49132,163340,55823,0,131745,140065,97689,51226,562381,162862,56421,161489,63017,75410,28649,81666,46014,188586,45135,48661,72525,100751,42754,626944,44243,110356,47672,262554,50139,50545
respecto,46652,78709,51864,71677,42601,200463,40780,73355,237562,40511,112777,357588,98405,92057,383808,69390,50648,52503,60088,50503,137710,143927,60781,84963,81129,58650,22436,44884,71558,47920,41294,126367,216351,63659,65986,32761,71521,117193,144714,65722,27769,95218,43059,47784,67781,202399,96887,51902,88436,24520,161154,65505,82521,42909,64634,71775,55190,51915,47259,43404,36832,55463,57606,73287,89018,94433,163694,62047,181218,185656,31849,72795,97248,79190,61732,65451,148717,50192,99070,112281,104826,110305,125896,35276,62064,35145,48377,54294,78710,42414,158788,55588,71864,51807,26037,30694,34258,148178,45886,33199,121331,319005,82838,74592,64270,107306,64912,99963,61246,62577,37813,220778,228576,71068,72116,60861,60635,131913,257068,40883,45645,149369,46447,131745,0,118850,81149,43723,498601,146558,56546,137901,53127,74753,24051,77826,40261,159135,39185,42473,60300,89797,39068,552208,36021,102518,43414,237879,38538,41629
restringida,50461,90782,55607,74595,49267,220882,47401,77406,280980,44733,112580,394163,114283,99477,418000,77889,55398,51611,72339,55539,152913,150729,67821,87166,88733,57140,22985,43671,83243,48497,46420,141746,240773,69112,69360,40184,79970,120968,169403,77360,32249,115907,49739,54408,78165,228593,108369,60078,104244,28321,187302,73796,95562,45251,64645,85897,67443,54954,45834,50583,39432,56287,62596,80350,96639,109761,162614,72973,192307,195171,32655,82606,96762,91436,68246,69016,149857,49077,113513,131944,127743,118628,131164,36845,70067,41958,57220,51326,85585,42850,188964,63872,80963,59177,25096,35880,40056,167134,47313,37775,133221,352179,103192,84106,68627,126411,73094,100754,75624,67489,42322,253115,240445,80081,79242,70568,68797,155683,314067,43855,43432,163381,60733,140065,118850,0,92712,51651,548675,155687,50816,160518,62980,69147,28239,81793,39994,171464,44004,44750,73715,98664,36846,590874,39542,106171,42954,257721,43790,42705
sala,32697,50251,34891,46776,31979,126936,35721,52547,170969,29104,76684,262726,74007,59909,290338,58436,37730,34751,43968,32644,139314,102448,45709,51777,63167,37076,21519,29826,57654,37393,30767,79674,148450,45302,43086,29709,76438,78327,85613,44582,24732,62464,32702,30595,41840,141364,60671,44042,58806,24866,114103,49133,60590,33353,40235,46449,36420,34492,36275,33175,27501,40160,39529,47799,59981,87955,105961,40158,123023,113369,33893,58738,70445,56287,54513,48787,96411,35308,104832,85655,61272,89354,73748,28614,36690,27622,41506,34365,56415,29919,95360,39552,52261,37071,31490,25456,28079,112365,35854,27128,83526,272470,50843,60759,52827,77630,53541,66824,63793,49537,32320,145682,151498,46969,46519,45182,50035,105686,238611,33060,28406,92909,39744,97689,81149,92712,0,31812,337982,99763,30828,90003,37130,43510,25389,48709,30163,137028,30185,29062,43989,58573,27940,391548,33848,68194,31756,182807,35000,36303
segundo,17231,38873,20172,29688,20347,89166,18109,29409,101941,17273,41097,152449,44544,40766,156744,29951,22691,19345,31209,21217,50353,59061,26977,37772,33426,21671,7194,16336,32735,17301,18395,61095,92067,26638,27008,15665,24986,45448,73444,32686,11651,47228,17333,21983,31256,96599,48063,22062,43619,8934,73197,27771,37491,15786,25980,37663,30007,21082,16040,19296,15077,21602,24207,31915,38607,37955,59710,32329,77514,82246,9596,31361,34386,35342,23578,24993,54347,18112,36754,51713,60126,41819,52953,12293,29975,14706,21100,19862,34353,16289,83538,24122,32766,24206,7225,12824,13458,64891,16269,13674,53957,131311,47992,32223,24638,52743,24787,38344,23193,22510,14500,103512,90939,31553,33112,28763,25472,58884,106390,15271,16657,68680,24451,51226,43723,51651,31812,0,217319,61090,19946,68913,26433,26854,8835,34280,15312,61298,17189,17121,31085,43214,11730,225653,13299,39859,15268,96577,15015,14167
sentencia,208181,420633,240131,327088,205853,960887,186842,324534,1098953,192353,477090,1648536,466702,443767,1663141,296789,238318,225814,320748,243048,528532,644450,293773,419909,365728,240325,86335,186586,332267,177063,196674,652232,997021,296927,296493,152712,286001,513230,748553,340845,129406,499899,183179,229311,343769,1037339,496473,238637,444342,101398,794143,290541,404774,185816,295647,388696,297937,238140,177737,205739,165591,233937,271397,342937,416607,395524,693132,331251,858237,909572,114152,319883,424163,377356,258166,304895,646032,217873,393647,551730,605202,475791,582518,137329,310864,160631,222139,221690,366772,181365,827311,249676,340494,250182,78591,136327,158015,696643,194226,156821,586509,1433585,486307,320939,251018,543265,285579,437422,267180,254307,160790,1100843,1043661,355469,353771,301584,272946,591771,1116013,173482,183734,724225,228891,562381,498601,548675,337982,217319,0,667307,215138,721687,277813,306389,95090,375102,167222,663462,169703,194586,309685,455860,148302,2491646,143567,461022,177933,1008500,161132,175625
ser,54848,116002,65100,92689,58313,262277,54234,92826,309732,53471,135677,467962,131567,126614,474098,85969,70378,64769,91822,67732,158479,188866,82358,118515,107424,69260,24437,56734,94117,51999,56311,179376,279210,83270,84690,44220,86220,152852,208283,96324,35408,136082,52530,62681,95990,288580,142326,69886,122555,29118,230721,89727,112964,52926,83352,108642,82759,63841,53939,58499,46930,68378,76426,96274,120274,118522,191733,92888,243228,251471,34138,91567,121293,103718,76991,86464,177088,61741,118432,154752,165031,137862,164238,39713,87045,47937,65182,65014,104673,53930,228581,71708,98323,70948,27631,39031,43715,198572,56886,43612,167950,418316,133521,92360,72836,155373,79324,125046,81431,79168,48499,314204,284144,95704,102563,86797,79935,169938,325538,50614,54045,202414,66256,162862,146558,155687,99763,61090,667307,0,63046,202839,77880,87775,28717,107462,48391,190839,48368,52914,88343,128286,44961,696097,42959,125089,52953,289189,47271,52809
señala,19266,37513,20416,27966,21233,84694,17434,30062,102449,17268,47832,156993,45548,39500,175978,31764,23647,20065,27498,21233,54812,64917,26253,35674,33112,25707,8930,21928,32185,22492,18383,55038,98036,24325,29098,15358,28156,50883,74239,30755,10642,44499,19981,24111,33466,90790,48391,23189,40805,9046,74745,31203,36862,16080,24770,34097,27474,22380,20351,20110,15771,21749,23800,31221,37749,49699,64201,28012,74900,77361,12567,30367,33412,36207,26799,26113,62559,18813,37756,49757,51325,46503,54471,15290,31130,20142,22971,24283,34615,17400,77800,23231,31869,23864,11161,15756,14029,65784,17618,14125,49720,135815,42026,35509,28448,51495,27516,42089,25298,28927,15161,109639,88842,30279,33247,25641,28062,60605,110643,15486,22354,70017,24511,56421,56546,50816,30828,19946,215138,63046,0,63706,24690,33178,9699,30849,17550,65581,18367,17570,29944,39928,13004,224636,13403,37573,14951,107234,19121,13388
si,56742,133790,68349,97938,64002,293509,54517,93890,324960,56557,134313,483572,140412,136733,484284,87338,71936,64176,107026,71847,133190,191054,87296,128826,105597,70905,19778,51806,101754,49535,59868,204160,294975,87274,88708,46862,71937,153904,246110,110451,34705,159291,53921,68036,106764,323204,158779,68695,142088,25289,245515,86292,124812,52172,85506,127559,100778,69145,47434,61652,48107,67260,81461,104272,126426,94988,193759,107466,261804,278487,26559,93011,114137,112646,70236,85981,180175,59415,100445,168740,202979,130851,180711,36002,96148,40747,64156,64257,110983,53364,272499,74859,104430,77288,17834,36704,43550,208645,53176,43875,180943,406405,164281,96247,70738,173407,77060,127379,70461,64614,44921,339348,302497,108724,112145,94661,76968,178363,310180,46501,53626,226389,74611,161489,137901,160518,90003,68913,721687,202839,63706,0,89073,87907,24288,115026,48232,185363,51416,55502,99691,145483,38526,719396,37117,132291,49105,297331,40060,46389
sido,21975,53209,27851,37397,25098,110452,21863,36236,126130,21718,52333,191405,55390,52251,188782,35292,28216,24645,39849,26861,56809,74333,34021,47171,42031,27349,8867,20456,39875,20084,23256,78899,115600,33855,33862,18224,28944,59003,93411,43124,13734,60660,20715,25947,42132,125758,61148,27871,55367,10526,96830,34307,47432,20069,31757,48338,38303,26545,19483,24588,19171,25917,31405,40051,48404,38599,73048,41771,102211,108287,12253,37053,46107,43946,27643,33516,68376,22922,42798,65045,77765,52409,68754,14797,36573,15284,25407,25584,43292,20815,103818,28520,40511,29674,7631,14169,17302,82089,20962,17655,70317,159410,63380,38434,28035,66585,31677,50128,27126,25971,17657,130392,117624,42350,42808,36324,30611,72901,126501,18394,21679,85726,29168,63017,53127,62980,37130,26433,277813,77880,24690,89073,0,33353,10453,43804,19148,73915,20314,21451,38550,55399,15542,278288,14948,50383,19777,116932,16368,20571
siendo,25924,51558,29825,43034,25644,123095,23057,43182,142868,24353,67247,214960,59010,59615,217609,37620,31158,30709,38179,31662,70132,86056,38072,55779,47210,34704,11659,26142,39310,25121,24549,81456,130390,36698,39446,19018,38224,69743,94167,41349,15585,58868,23434,30053,43025,128905,62047,30937,53457,13028,102872,39349,50019,23715,39476,47459,34727,30623,25730,26096,20926,31719,33229,43095,55093,54969,92527,42021,111282,120169,15693,39805,59324,46521,34653,39737,87673,29290,50037,67624,74126,62268,78668,18306,41376,22766,29017,31816,47557,24913,101871,32160,45073,31694,10596,18301,19321,86453,25946,19731,74675,187512,57393,40508,33381,66617,36291,60103,34488,38420,20775,142508,131464,42979,44881,37515,35870,71803,140823,23002,24956,92749,26830,75410,74753,69147,43510,26854,306389,87775,33178,87907,33353,0,12318,50242,22914,85050,21592,25588,37562,57021,20048,325436,19295,59230,23196,131328,21805,21432
siguientes,10108,13220,9648,13162,9179,34882,11121,15106,49280,8092,23483,77753,22356,17016,88284,17532,11706,10436,11898,9552,47723,30219,13090,13447,19348,11282,7754,9280,17232,11925,9282,20906,42521,13135,12948,9859,27173,24072,22298,12137,7210,16963,10356,8960,12139,38814,16608,13718,16284,7743,33273,15934,17403,9726,11278,11877,9795,10074,12128,10453,8434,11533,10571,13252,17426,30944,30389,10207,33931,29643,11640,16497,21101,16673,17869,15439,29099,10869,34309,24904,14559,28559,19994,9421,10465,10196,13827,10189,16807,9372,23414,11729,14250,11012,12019,8259,9041,33615,11850,8226,24635,85405,12104,18525,16941,21064,17470,19183,23166,16408,10939,41461,45024,13293,13399,12540,16297,31348,78341,10069,8512,26111,12102,28649,24051,28239,25389,8835,95090,28717,9699,24288,10453,12318,0,12790,9158,41895,8713,8695,12260,15058,9128,114914,11002,20020,9914,55035,12254,11993
sino,26807,69092,35642,55080,30184,151447,27072,49451,169809,28534,71327,252913,69332,74803,236791,41841,38716,36786,51222,38948,73538,101812,46366,72966,56554,37754,10129,28183,47030,24278,29475,108760,147173,46711,45989,22080,40761,81369,117029,55865,17610,75374,24138,34098,51734,166422,81962,35685,68365,12679,125493,44998,59627,25462,49842,65108,46726,33789,26180,30160,24007,37044,41953,52377,71150,54581,104334,56915,137392,156796,13480,47398,70153,53069,37834,45826,93560,33636,53166,81695,107919,68379,97133,18520,53244,22224,33179,35026,59200,28983,133499,37861,55906,39697,7757,18841,21315,102830,28912,23546,96111,219273,81923,45251,34873,84118,38401,68310,37448,40249,23951,174218,156835,53577,56166,50245,40461,81880,157403,26685,25833,114272,33249,81666,77826,81793,48709,34280,375102,107462,30849,115026,43804,50242,12790,0,24337,90686,23650,29007,49513,73610,21658,384795,20431,69427,27780,144457,21862,23762
situación,15218,24908,17918,22680,15626,67934,14589,24687,79613,14411,38445,120980,33755,28767,133973,25710,17766,16878,22097,15939,51213,49954,20896,28495,28013,19037,7629,14212,27089,16224,14887,41285,73479,21998,20945,12079,25633,38881,47376,23364,10821,33332,13803,16185,21476,70627,32029,19783,30459,9823,53830,22254,30962,15639,20816,24536,19468,18100,15578,15374,13012,18717,19204,24206,29231,35092,50794,20891,62128,59018,12691,24921,33782,27883,22422,24114,48755,18513,38127,41886,33880,40539,38961,12315,19126,12595,18333,17158,26653,14058,52230,18136,24763,16894,9179,11132,11535,53572,15783,11703,41016,113803,28318,27478,22343,37854,23165,34194,21462,21928,12756,74054,79647,24006,24877,20706,22756,46682,93111,14588,15066,47952,16659,46014,40261,39994,30163,15312,167222,48391,17550,48232,19148,22914,9158,24337,0,58668,14183,15267,21358,31974,12579,188802,13921,34399,14663,82113,13952,16280
supremo,64511,99180,69386,88357,64231,259283,62892,100277,326958,59861,149799,493750,139144,114477,573110,108953,69008,66144,87185,63953,231482,194864,84217,103112,115467,72369,35738,58171,110389,68398,59361,160589,293254,86839,83373,54292,119319,153094,185327,89824,44486,131421,63331,62409,86629,276578,122956,80365,120611,42843,218546,90892,126476,65491,77343,94028,75915,71514,65766,63280,53197,75509,77345,96867,112799,146425,208312,78685,235577,221199,56554,109838,128203,111821,94855,91990,192024,68285,175468,170703,124323,164955,149502,53579,73618,51061,72760,67209,107389,55199,201906,76032,97903,69812,51211,48007,51010,214713,64668,48983,159919,476068,106352,113396,95796,153424,97993,132332,102700,86490,56446,290952,301668,94754,94179,83578,89628,200755,415037,59437,58979,190279,72832,188586,159135,171464,137028,61298,663462,190839,65581,185363,73915,85050,41895,90686,58668,0,58984,58931,85137,120842,51189,751781,60822,134308,57737,347330,60321,64421
supremos,15585,27322,16333,22457,19188,70002,15642,24996,84850,14463,35674,123653,38827,29220,142818,33828,17200,15184,23501,16226,54666,47117,21246,26294,27269,17967,6902,14065,31335,18436,15254,45332,78409,20989,21461,14821,23216,36439,57674,25192,9843,38592,17702,17137,25314,72709,34672,19410,35389,8886,59237,24139,31293,14210,18183,27862,23079,18835,15270,15968,14217,18895,20269,26319,29823,31907,52881,22554,59510,58739,12408,31048,24267,30408,20934,19002,45543,15089,39807,43345,40698,38505,40533,13665,21509,10354,17310,16426,26774,13220,64316,19618,25829,19432,7701,12939,11327,54901,13314,11525,42220,108681,33350,30993,29122,42339,22414,31482,20550,19088,12950,79055,73344,24507,24789,21978,21173,57174,101262,14959,15037,52206,24101,45135,39185,44004,30185,17189,169703,48368,18367,51416,20314,21592,8713,23650,14183,58984,0,14318,25944,33481,9983,184925,13623,31823,12683,93304,13291,11361
sustantiva,19991,29580,24050,26796,15853,79581,15814,27845,89997,16873,47390,135633,38368,34819,135337,25142,18753,18957,25899,19865,48161,52510,24517,37109,29719,20125,9463,13669,28321,14895,16692,53428,80032,26331,23276,12139,27415,43180,55543,25825,11451,38665,14703,17081,25644,85966,38423,21336,35154,9675,61570,22109,34543,17487,26076,29122,21919,25572,15510,16533,14246,20141,23255,27359,32612,26497,61218,24326,70797,70845,12888,26526,39271,32274,22009,24668,53488,20318,34839,46787,41302,48435,46197,11970,20357,10557,16861,17865,29587,15746,61571,20873,29173,20078,8087,10550,12710,56627,17031,13489,50691,125286,34743,25858,22237,41548,25186,36260,23521,18177,12376,81556,88337,28435,27247,22753,22184,48817,93644,16411,15712,56798,15929,48661,42473,44750,29062,17121,194586,52914,17570,55502,21451,25588,8695,29007,15267,58931,14318,0,22055,39656,14184,207918,14135,39921,15967,83537,11741,19848
tiempo,23327,58454,26783,41596,31204,124234,26121,41329,145504,23214,54863,220375,66554,58294,230389,44638,35620,26162,44033,30335,72671,86097,39326,51549,47162,30805,8387,26914,46894,25864,26593,89077,135112,36706,40067,23635,32153,64638,110252,49050,15150,70192,26295,33013,48316,139717,72053,31287,63472,11602,108724,43405,51818,20480,33436,56058,44835,28147,23250,29143,21691,30006,34816,46419,57068,62578,81142,46952,107931,116906,13789,46535,43607,51756,34298,34719,74269,22720,54304,73091,92301,59019,76255,18934,47276,24604,32765,28460,50362,23323,123535,33059,47329,35364,9320,20655,18200,94071,21307,19948,80261,184185,73490,48721,37461,79684,35698,53380,30290,36863,21596,158235,120532,44121,47390,42649,37897,87998,157118,22386,24267,99816,40545,72525,60300,73715,43989,31085,309685,88343,29944,99691,38550,37562,12260,49513,21358,85137,25944,22055,0,60536,14173,313283,17959,49582,20029,141727,24296,16404
tipo,36743,82314,46447,62010,40552,185942,34249,60256,203546,37757,90140,305522,86084,85695,305502,57975,44242,41938,68313,45066,87375,122269,56804,92352,67209,44817,12384,31825,65258,32858,37457,132454,179611,55439,54533,28898,49749,99115,152124,68987,21881,99150,32262,40996,63224,217207,100290,44728,88280,16619,152648,51838,81741,34535,59691,79587,60904,47126,30688,38185,31875,46282,52001,66229,78626,49859,125551,67007,171991,180140,21618,60328,78141,69763,43041,52790,111458,42641,64877,109154,126821,88789,114579,21735,57796,21914,36619,40883,71532,35188,168306,45850,67420,47074,11103,22951,25455,130709,32814,28168,115097,281667,102332,62247,45766,108038,50330,85722,43155,37209,26978,205385,188488,65716,71291,59409,47390,113207,192473,30110,33652,141031,44800,100751,89797,98664,58573,43214,455860,128286,39928,145483,55399,57021,15058,73610,31974,120842,33481,39656,60536,0,25569,456372,25558,84103,32552,190521,22271,31786
toda,15821,19181,18269,21337,11234,56373,13460,22944,70925,13223,35794,109063,27635,26678,109537,18676,15543,16346,17903,16089,43417,42158,17657,25228,27863,16899,9413,12033,19986,11782,12868,34385,62577,21508,19066,8903,29005,36330,33175,17380,9764,26399,11818,12481,17453,58819,23945,16763,23885,9897,47280,19550,25470,15993,20965,17793,13141,16733,15300,13155,11336,16800,18045,21578,25385,29725,52031,15469,54997,49677,13392,19661,35746,23603,19920,24740,47854,17456,34836,34370,20635,37951,35375,11451,14099,10509,15273,14930,22292,13686,35065,17143,19896,13699,8973,8616,13038,46757,16718,11154,36014,106402,19596,18124,15821,29736,22850,30191,25304,18694,12653,59612,76555,22920,20319,17314,19278,37165,81699,13312,13036,39437,9920,42754,39068,36846,27940,11730,148302,44961,13004,38526,15542,20048,9128,21658,12579,51189,9983,14184,14173,25569,0,168798,12577,35346,19278,65815,11979,20326
tribunal,218796,403215,255491,342067,209512,1009033,201487,350575,1181042,203432,518056,1732522,478912,452064,1793139,327296,253159,245521,319098,250135,634550,684753,303440,424725,397289,259873,99307,194602,353003,196349,207945,649690,1046136,317879,307414,163743,324629,543638,729026,344938,144576,493804,199755,240147,335206,1040630,484457,259892,452952,126510,799138,309097,425332,208030,309920,379871,293772,252003,205972,215612,175941,258050,279369,355431,434290,475018,745790,326884,881376,917448,149512,349511,474395,391462,293892,323489,697108,243177,479694,579231,561892,525225,596654,161250,311398,182209,248636,236970,383201,195995,810399,272070,352743,252480,91829,149944,173696,737493,215443,170226,604210,1549005,457356,342133,281086,551500,311549,466350,288970,297497,178955,1114591,1123422,359538,356671,311812,304611,637673,1246992,195237,196261,726401,232101,626944,552208,590874,391548,225653,2491646,696097,224636,719396,278288,325436,114914,384795,188802,751781,184925,207918,313283,456372,168798,0,176085,503717,197286,1081169,189450,215800
